strain	clade	q40ps	q40l	q40het	fps	fl	fhet	fdps	fdl	fdhet	lohl
CEC4481	NC	68618	14201681	0.00483168154530439	54532	9995466	0.00545567360241133	54092	9975706	0.00542237311324131	2200000
CEC4854	13	35602	14119882	0.00252140917324946	28055	8592446	0.003265077255068	28034	8587596	0.00326447587893049	5400000
CEC4883	1	75729	14252426	0.00531341120452055	64128	10535860	0.00608664124238553	63913	10514506	0.00607855471288903	2200000
CEC3627	1	75881	14226363	0.00533382987626563	64915	10788727	0.00601692859593166	64715	10762027	0.00601327240676872	2100000
CEC4884	13	36134	14145067	0.00255453014114391	28469	8603235	0.0033091040753856	28461	8600076	0.00330938935888474	5300000
CEC3681	3	85260	14195566	0.00600610077822892	69571	11379726	0.00611359183867872	69310	11346583	0.00610844692186185	800000
CEC3682	1	77216	14234960	0.00542439177911283	61968	10177817	0.00608853548850407	61723	10148680	0.00608187468715143	2100000
CEC4038	A	90083	14179711	0.00635295035279633	75070	10976600	0.00683909407284587	74853	10964515	0.0068268409501013	1300000
CEC4860	13	35768	14124314	0.00253237077567095	27874	8294939	0.0033603622642674	27860	8290807	0.00336034839551807	5700000
CEC3676	4	79355	14192325	0.00559140239530873	65802	10382064	0.00633804607638712	65076	10335185	0.00629654911837572	1900000
CEC3603	1	65325	14219781	0.00459395260728699	50692	8816317	0.00574979325267002	50228	8688888	0.00578071670390964	3600000
CEC4035	1	64118	14232273	0.00450511313266686	49508	8706995	0.00568600303549043	49364	8686036	0.00568314476246702	3700000
CEC704	4	75419	14170106	0.00532240196368326	61638	9779906	0.00630251456404591	61241	9753548	0.00627884335013269	2400000
CEC4495	11	73148	14216547	0.00514527191448106	56829	9505930	0.00597826830199675	56177	9452984	0.00594277954982257	2900000
CEC2019	12	86646	14207594	0.00609856953964197	71851	11090976	0.00647832977007614	71178	11052573	0.0064399484174409	1200000
CEC3540	4	66518	14190025	0.00468765911265132	59113	9715129	0.00608463356482451	58495	9678388	0.00604387838139988	3900000
CEC4943	13	35788	14124711	0.0025337155570829	27881	8394786	0.00332122820045681	27865	8390502	0.00332101702615648	5600000
CEC3661	C	79282	14196024	0.00558480318151054	65575	10443389	0.00627909196909164	65169	10417723	0.00625558963316648	1900000
CEC2876	18	75698	14177579	0.00533927548561006	60298	9800692	0.00615242270647828	59434	9755568	0.0060923156908957	2400000
CEC3551	4	81098	14199001	0.0057115285786655	67709	10889324	0.00621792500618037	67229	10856864	0.00619230378127607	1300000
CEC3560	1	76749	14227750	0.00539431744302507	62198	10350281	0.00600930544784243	61359	10166030	0.00603568944809331	2000000
CEC3786	18	79159	14205327	0.00557248699730742	62927	10468908	0.00601084659450632	61996	10412088	0.00595423319510938	1800000
CEC4039	C	57998	14190936	0.00408697495359009	51649	8718634	0.00592397845809332	51351	8703081	0.00590032426447599	4900000
CEC4492	11	97660	14225759	0.00686501156107031	80816	11597322	0.00696850531527882	80101	11546788	0.00693708068425609	600000
CEC3708	B	70625	14170159	0.00498406545755767	56690	9495258	0.00597034856767452	56243	9457292	0.00594705122777218	2900000
CEC712	4	63965	14171937	0.00451349734337656	54407	9005643	0.00604143424295189	53977	8975332	0.00601392795274871	3900000
CEC5022	13	35537	14116324	0.00251744009276069	27975	8491230	0.00329457569751379	27955	8487034	0.00329384800390808	5500000
CEC3617	1	57452	14226434	0.00403839781634667	42814	7265734	0.00589259116835271	42717	7242018	0.00589849403854009	5300000
CEC3673	1	76702	14225613	0.00539182388836249	62148	10343370	0.00600848659576134	61924	10299407	0.00601238498488311	2000000
CEC3601	11	92856	14207359	0.00653576783693577	76736	11383552	0.00674095396586233	76252	11348897	0.00671889083141736	800000
CEC3704	11	83625	14209770	0.00588503543688603	67004	10005924	0.00669643303307121	66211	9942416	0.00665944776400424	2200000
